epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35416,3.08271,7.8291,1.90034,0.52501,0.03647,0.0071,0.00272,3.55958,17.5614,1.83746,0.000527883,0.000527883,0.000527883
2,12.7443,2.99272,4.9609,1.53905,0.00283,0.0188,0.00028,7e-05,3.92526,196.681,2.71082,0.00107282,0.00107282,0.00107282
3,19.0378,3.02037,5.71336,1.52178,0.00016,0.00188,0,0,4.34184,15712,15.0888,0.00160676,0.00160676,0.00160676
4,25.2517,2.83701,3.02858,1.49074,0.00815,0.05169,0.00109,0.00029,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,31.4532,2.91427,5.74132,1.56598,0.03365,0.06767,0.00645,0.00147,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,37.6518,3.04769,3.18121,1.50093,0.00175,0.02444,0.00013,3e-05,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,43.9123,2.90528,3.50933,1.54943,0.00627,0.06297,0.00107,0.00028,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,50.2124,2.72168,2.98808,1.42868,0.00752,0.09211,0.00212,0.00059,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,56.4395,2.79264,2.93257,1.52903,0.0091,0.10432,0.00613,0.00145,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,62.6878,2.74539,2.70097,1.43221,0.05271,0.06203,0.01152,0.00325,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,68.9482,2.71788,5.48869,1.35597,0.0105,0.10808,0.00358,0.00108,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,75.2424,2.68932,3.08515,1.4017,0.00706,0.12594,0.01159,0.003,3.45792,5.07279,1.75672,0.00148546,0.00148546,0.00148546
13,81.4208,2.62842,3.31349,1.4529,0.54022,0.07143,0.0154,0.00365,3.43272,4.16952,1.70576,0.00146896,0.00146896,0.00146896
14,87.8151,2.7331,2.92708,1.34025,0.0145,0.07895,0.0045,0.00109,3.4562,3.4362,1.68953,0.00145246,0.00145246,0.00145246
15,93.9915,2.71551,3.03919,1.43643,0.01241,0.07801,0.00406,0.00121,3.40751,4.45548,1.75099,0.00143595,0.00143595,0.00143595
