epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7418,2.73042,4.73659,1.50251,0.56132,0.06203,0.02058,0.00751,3.67292,7.84334,1.77974,0.000537144,0.000537144,0.000537144
2,21.1714,2.22082,2.23902,1.21819,0.1036,0.05639,0.02878,0.01047,3.43026,2011.06,1.94865,0.0010856,0.0010856,0.0010856
3,31.195,2.20401,4.88353,1.15815,0.03295,0.05639,0.00699,0.00228,3.41836,34.5247,2.02297,0.00162672,0.00162672,0.00162672
4,40.1959,2.302,2.10124,1.22929,0.00536,0.03102,0.00069,0.00015,4.0271,55.3823,2.28249,0.00163399,0.00163399,0.00163399
5,49.4274,2.21528,1.97187,1.24231,0.05629,0.06109,0.01958,0.00578,3.31026,695.762,1.76439,0.00162299,0.00162299,0.00162299
6,58.2362,2.19425,2.19138,1.22017,0.10322,0.06203,0.03371,0.01231,3.93779,5.92269,1.92119,0.00161199,0.00161199,0.00161199
7,67.536,2.17474,2.06789,1.17334,0.01542,0.08835,0.00374,0.0011,3.68582,26.8153,1.85405,0.00160099,0.00160099,0.00160099
8,76.5865,2.02575,1.65625,1.12561,0.50882,0.08553,0.002,0.0006,3.77611,89.76,4.60342,0.00158998,0.00158998,0.00158998
9,85.3042,2.03403,1.76808,1.12063,0.58731,0.07895,0.03944,0.01453,3.25006,3.5248,1.6634,0.00157898,0.00157898,0.00157898
10,93.9612,2.05752,1.70556,1.16148,0.63196,0.07707,0.04895,0.01899,3.15697,3.6406,1.53054,0.00156798,0.00156798,0.00156798
11,102.674,2.00904,1.69401,1.10838,0.55253,0.05545,0.01669,0.00523,3.26642,5.13973,1.47102,0.00155698,0.00155698,0.00155698
12,111.167,2.05035,1.68636,1.144,0.56887,0.05733,0.02105,0.00615,3.36864,3.33246,1.53327,0.00154598,0.00154598,0.00154598
13,119.571,1.9938,1.61948,1.10564,0.57322,0.07143,0.0264,0.00779,3.24156,3.30244,1.39612,0.00153497,0.00153497,0.00153497
14,128.081,2.00785,1.63274,1.13985,0.12284,0.07989,0.04158,0.01585,3.18013,3.41089,1.34021,0.00152397,0.00152397,0.00152397
15,137.747,2.0329,1.87028,1.12699,0.61624,0.09117,0.04289,0.01596,3.08457,3.20159,1.33173,0.00151297,0.00151297,0.00151297
16,147.132,1.96216,1.66679,1.10852,0.59536,0.04981,0.0266,0.00906,3.27128,3.42117,1.45227,0.00150197,0.00150197,0.00150197
