epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1156,1.56068,1.16605,1.05095,0.0292,0.04605,0.00504,0.00157,3.47225,3.81372,1.70782,0.000548972,0.000548972,0.000548972
2,47.2386,1.2848,0.767,0.95519,0,0,0,0,3.81577,8.95788,2.70823,0.0010937,0.0010937,0.0010937
3,69.9185,1.30446,0.71946,0.95187,0.05363,0.0394,0.00639,0.00188,3.44425,4.51424,1.59074,0.00162743,0.00162743,0.00162743
4,92.6504,1.26847,0.71065,0.93982,0.10215,0.07425,0.0369,0.00951,3.45112,3.83683,1.54673,0.00161749,0.00161749,0.00161749
5,115.413,1.24279,0.71077,0.9413,0.05131,0.03383,0.01238,0.00321,3.50421,4.02624,1.65341,0.00160099,0.00160099,0.00160099
6,137.933,1.2604,0.71596,0.94042,0.11785,0.03195,0.0252,0.0094,3.50446,3.22914,1.64051,0.00158448,0.00158448,0.00158448
7,160.51,1.168,0.65987,0.91789,0.10255,0.05827,0.02543,0.00911,3.50216,3.8609,1.63236,0.00156798,0.00156798,0.00156798
8,183.138,1.18237,0.65899,0.92002,0.0278,0.09023,0.01415,0.00484,3.3207,3.80257,1.52767,0.00155148,0.00155148,0.00155148
9,205.8,1.18963,0.65456,0.92127,0.09081,0.07143,0.03565,0.01302,3.18149,3.70728,1.44945,0.00153497,0.00153497,0.00153497
10,228.469,1.12031,0.62645,0.90623,0.09543,0.06391,0.02395,0.0075,3.28994,3.46615,1.44485,0.00151847,0.00151847,0.00151847
11,251.018,1.1292,0.62486,0.90717,0.08034,0.08647,0.03512,0.01269,3.19342,3.38784,1.47076,0.00150197,0.00150197,0.00150197
12,273.198,1.08776,0.60588,0.90062,0.08893,0.07425,0.02732,0.00991,3.19963,3.35284,1.53988,0.00148546,0.00148546,0.00148546
13,295.582,1.0859,0.60934,0.90118,0.10827,0.06884,0.03848,0.01377,3.23598,3.70445,1.48451,0.00146896,0.00146896,0.00146896
14,318.299,1.07465,0.58837,0.89526,0.08637,0.03289,0.01754,0.00564,3.41152,3.20824,1.46227,0.00145246,0.00145246,0.00145246
15,340.803,1.10051,0.60769,0.90138,0.11766,0.08271,0.04908,0.01799,3.17279,3.3169,1.36949,0.00143595,0.00143595,0.00143595
16,363.174,1.06413,0.58161,0.89008,0.14875,0.07895,0.06039,0.02485,3.14714,3.37146,1.38204,0.00141945,0.00141945,0.00141945
17,385.384,1.06264,0.58095,0.89117,0.11116,0.08177,0.0406,0.01303,3.28105,3.41887,1.45805,0.00140295,0.00140295,0.00140295
18,407.561,1.05533,0.58211,0.89014,0.16539,0.06485,0.0598,0.02342,3.19063,3.09105,1.47781,0.00138644,0.00138644,0.00138644
19,429.708,1.04012,0.56698,0.88465,0.12627,0.09868,0.0485,0.01624,3.20518,3.55979,1.37889,0.00136994,0.00136994,0.00136994
20,451.801,1.0422,0.56942,0.88534,0.14404,0.07049,0.05823,0.02133,3.2311,3.05467,1.51731,0.00135344,0.00135344,0.00135344
21,473.924,1.01018,0.54498,0.87938,0.09201,0.06391,0.02978,0.01058,3.24807,3.23481,1.47497,0.00133693,0.00133693,0.00133693
22,496.152,1.0374,0.57587,0.88474,0.06533,0.12305,0.03351,0.01264,3.20896,4.37611,1.50104,0.00132043,0.00132043,0.00132043
23,518.371,1.01364,0.56705,0.87944,0.07934,0.07321,0.03175,0.01054,3.18918,4.05487,1.43817,0.00130393,0.00130393,0.00130393
24,540.35,0.98485,0.55374,0.87452,0.08388,0.06955,0.03294,0.00913,3.33679,4.00357,1.60165,0.00128742,0.00128742,0.00128742
25,562.36,0.99911,0.54547,0.87851,0.13585,0.08553,0.05466,0.0233,3.06242,3.41628,1.47381,0.00127092,0.00127092,0.00127092
26,584.375,1.03321,0.55614,0.88254,0.13856,0.07989,0.0466,0.01683,3.20772,3.00771,1.40888,0.00125442,0.00125442,0.00125442
27,606.414,1.01144,0.54858,0.87798,0.15501,0.09305,0.06536,0.02376,3.16242,2.932,1.41116,0.00123791,0.00123791,0.00123791
28,628.515,0.98195,0.53996,0.87707,0.11437,0.08195,0.04223,0.01458,3.18311,3.27355,1.42683,0.00122141,0.00122141,0.00122141
29,650.502,0.98593,0.54341,0.87609,0.12096,0.08365,0.05456,0.01998,3.20875,3.06243,1.32633,0.00120491,0.00120491,0.00120491
30,672.655,0.9767,0.54048,0.87335,0.11407,0.08177,0.04539,0.01816,3.16946,3.28533,1.37304,0.0011884,0.0011884,0.0011884
31,694.756,0.98593,0.53891,0.87751,0.1126,0.08168,0.04497,0.01571,3.28061,3.28517,1.54551,0.0011719,0.0011719,0.0011719
32,717.153,0.97495,0.53641,0.87505,0.14095,0.08741,0.05368,0.0189,3.15811,3.19023,1.43071,0.0011554,0.0011554,0.0011554
33,739.601,0.95492,0.51697,0.86723,0.13143,0.07237,0.04168,0.0148,3.17098,2.99063,1.48022,0.00113889,0.00113889,0.00113889
34,762.196,0.96392,0.52654,0.87342,0.12262,0.08929,0.06701,0.02528,3.18088,3.13008,1.41457,0.00112239,0.00112239,0.00112239
35,784.831,0.96805,0.53222,0.87395,0.11829,0.07707,0.03847,0.01299,3.29785,3.58083,1.43573,0.00110589,0.00110589,0.00110589
36,807.351,0.98199,0.53534,0.87335,0.08626,0.05827,0.0377,0.01219,3.20887,3.34518,1.41563,0.00108938,0.00108938,0.00108938
37,829.564,0.94722,0.51309,0.86917,0.1227,0.08459,0.06545,0.02452,3.16121,3.28852,1.32696,0.00107288,0.00107288,0.00107288
38,851.63,0.95393,0.51994,0.86719,0.1562,0.08365,0.06929,0.0283,3.1091,2.96243,1.38588,0.00105638,0.00105638,0.00105638
39,873.877,0.94713,0.52742,0.8664,0.12563,0.09774,0.0588,0.02387,3.02471,3.15159,1.3617,0.00103987,0.00103987,0.00103987
40,895.811,0.92768,0.50138,0.86231,0.11627,0.09117,0.06167,0.02391,3.183,3.21596,1.40398,0.00102337,0.00102337,0.00102337
41,917.808,0.94899,0.51387,0.86813,0.11931,0.09398,0.06803,0.0271,3.14517,2.99753,1.30845,0.00100687,0.00100687,0.00100687
42,939.791,0.92682,0.50203,0.86278,0.08574,0.07613,0.02982,0.01105,3.18219,3.21114,1.38534,0.000990365,0.000990365,0.000990365
43,961.915,0.96512,0.53194,0.86739,0.14564,0.08741,0.05986,0.02246,3.15959,3.05476,1.37094,0.000973861,0.000973861,0.000973861
44,984.291,0.92921,0.50593,0.86162,0.1455,0.08835,0.06035,0.02223,3.07979,2.92993,1.39242,0.000957358,0.000957358,0.000957358
45,1006.73,0.91274,0.49415,0.85759,0.09733,0.07143,0.03639,0.01143,3.16595,3.43752,1.45271,0.000940855,0.000940855,0.000940855
46,1029.51,0.91663,0.49194,0.86239,0.11105,0.05357,0.03583,0.01169,3.23423,3.25109,1.41806,0.000924352,0.000924352,0.000924352
47,1051.99,0.93483,0.50785,0.86607,0.15158,0.10338,0.06711,0.02542,3.13795,3.1062,1.33464,0.000907848,0.000907848,0.000907848
48,1074.4,0.92042,0.49503,0.86177,0.1518,0.10808,0.0815,0.03102,3.08041,3.46676,1.3246,0.000891345,0.000891345,0.000891345
49,1097.04,0.92727,0.50405,0.86269,0.09259,0.07707,0.03575,0.01299,3.15554,3.27954,1.42839,0.000874842,0.000874842,0.000874842
50,1119.7,0.90607,0.48691,0.85637,0.17007,0.10902,0.08456,0.03487,2.93857,2.94642,1.34729,0.000858338,0.000858338,0.000858338
51,1142.5,0.91504,0.48643,0.85931,0.15836,0.11184,0.08494,0.03352,3.04813,2.99628,1.30159,0.000841835,0.000841835,0.000841835
52,1164.78,0.92343,0.48987,0.8574,0.13416,0.08177,0.05708,0.0219,3.08059,3.13911,1.34674,0.000825332,0.000825332,0.000825332
53,1187.22,0.91611,0.49234,0.85933,0.14006,0.09868,0.06751,0.02779,2.96569,3.18189,1.36997,0.000808828,0.000808828,0.000808828
54,1209.68,0.90726,0.48971,0.85605,0.09033,0.04849,0.02758,0.01057,3.10989,3.99811,1.35407,0.000792325,0.000792325,0.000792325
55,1232.15,0.90061,0.49312,0.85765,0.15345,0.08835,0.0731,0.03255,3.23555,3.66279,1.32865,0.000775822,0.000775822,0.000775822
56,1254.53,0.89962,0.49832,0.85751,0.14912,0.09868,0.06565,0.02532,3.03005,3.16694,1.27923,0.000759318,0.000759318,0.000759318
57,1276.75,0.90639,0.49584,0.85854,0.11401,0.07801,0.03567,0.01341,3.03941,3.25453,1.37537,0.000742815,0.000742815,0.000742815
58,1298.91,0.90352,0.49006,0.8551,0.09221,0.10808,0.05117,0.02057,2.93184,3.21131,1.32366,0.000726312,0.000726312,0.000726312
59,1321.14,0.90574,0.48631,0.85621,0.12763,0.08271,0.04722,0.01542,3.08536,3.03517,1.36346,0.000709809,0.000709809,0.000709809
60,1343.46,0.89148,0.48603,0.8576,0.13267,0.09492,0.0681,0.02511,3.08514,3.24651,1.37204,0.000693305,0.000693305,0.000693305
61,1365.95,0.87932,0.46843,0.85083,0.17386,0.1109,0.08327,0.03328,2.97475,3.30562,1.37382,0.000676802,0.000676802,0.000676802
62,1388.5,0.8827,0.47546,0.85436,0.11885,0.09962,0.05931,0.02162,3.04088,3.03343,1.35546,0.000660299,0.000660299,0.000660299
63,1411.05,0.8769,0.47526,0.8538,0.15295,0.10714,0.08182,0.03183,3.00229,3.05262,1.36425,0.000643795,0.000643795,0.000643795
64,1433.53,0.87323,0.46409,0.85014,0.67935,0.1156,0.09786,0.03913,2.97668,2.88267,1.33245,0.000627292,0.000627292,0.000627292
65,1455.82,0.88447,0.4707,0.85127,0.11749,0.1015,0.05543,0.02208,3.09757,3.00642,1.34567,0.000610789,0.000610789,0.000610789
66,1478.03,0.86415,0.45976,0.85073,0.1297,0.09868,0.06177,0.02184,3.07491,2.96745,1.31966,0.000594286,0.000594286,0.000594286
67,1500.28,0.8637,0.46107,0.84824,0.14592,0.11466,0.0796,0.03118,2.99178,2.86723,1.34209,0.000577782,0.000577782,0.000577782
68,1522.63,0.88065,0.47385,0.85537,0.17918,0.11278,0.08511,0.03658,2.97972,3.10838,1.35084,0.000561279,0.000561279,0.000561279
69,1544.91,0.85812,0.45561,0.84976,0.14194,0.08647,0.05909,0.02054,2.99128,2.99066,1.39067,0.000544776,0.000544776,0.000544776
70,1567.08,0.85137,0.45477,0.84792,0.15076,0.11654,0.08146,0.03229,2.99494,3.1433,1.34144,0.000528272,0.000528272,0.000528272
71,1589.32,0.86045,0.46338,0.85074,0.18971,0.14004,0.10723,0.04469,3.04957,2.92035,1.33305,0.000511769,0.000511769,0.000511769
72,1611.43,0.86005,0.46231,0.84964,0.17479,0.08082,0.06087,0.02054,3.07458,2.93619,1.42935,0.000495266,0.000495266,0.000495266
73,1633.74,0.86714,0.46883,0.85044,0.18988,0.1062,0.09006,0.0366,3.01452,3.00793,1.33083,0.000478762,0.000478762,0.000478762
