epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3551,1.67813,1.22932,1.0776,0.06978,0.03008,0.01197,0.00431,3.47735,3.31444,1.63888,0.000548972,0.000548972,0.000548972
2,44.9453,1.42726,0.80786,0.98242,0.08897,0.06297,0.02254,0.00687,3.37496,3.47549,1.50604,0.0010937,0.0010937,0.0010937
3,67.2708,1.49682,0.80834,0.99687,0.14936,0.06391,0.03482,0.0121,3.3663,6.23982,1.78367,0.00162743,0.00162743,0.00162743
4,89.4282,1.4966,0.84172,0.99465,0.08472,0.07801,0.02999,0.01039,3.2743,3.31251,1.60803,0.00161749,0.00161749,0.00161749
5,111.625,1.39181,0.80581,0.96867,0.00961,0.0864,0.01042,0.00331,3.41501,4.71394,1.64328,0.00160099,0.00160099,0.00160099
6,133.777,1.33579,0.74051,0.95465,0.10748,0.06485,0.03388,0.01273,3.47657,5.35467,1.84557,0.00158448,0.00158448,0.00158448
7,155.989,1.36896,0.74599,0.9574,0.13215,0.07989,0.04549,0.01511,3.39486,3.64404,1.7318,0.00156798,0.00156798,0.00156798
8,178.174,1.3182,0.70833,0.94499,0.0207,0.13158,0.02241,0.00662,3.4035,3.57178,1.57031,0.00155148,0.00155148,0.00155148
9,200.334,1.29484,0.7164,0.94454,0.09381,0.08083,0.03581,0.01208,3.13021,4.52671,1.40629,0.00153497,0.00153497,0.00153497
10,222.598,1.34318,0.70972,0.94766,0.61188,0.06955,0.04439,0.01344,3.31173,4.05254,1.47315,0.00151847,0.00151847,0.00151847
11,244.856,1.27111,0.67445,0.93127,0.12697,0.09868,0.04876,0.0148,3.3432,3.15947,1.56083,0.00150197,0.00150197,0.00150197
12,266.841,1.26166,0.66878,0.93201,0.16767,0.07519,0.05304,0.01727,3.26698,3.34622,1.54698,0.00148546,0.00148546,0.00148546
13,288.937,1.23366,0.67148,0.93033,0.14348,0.06203,0.04767,0.01809,3.211,3.36579,1.50334,0.00146896,0.00146896,0.00146896
14,311.157,1.2315,0.66941,0.92636,0.03172,0.0282,0.00784,0.00192,3.61149,3.63969,1.50674,0.00145246,0.00145246,0.00145246
15,333.394,1.22225,0.6609,0.92544,0.10993,0.06861,0.03148,0.00907,3.40184,3.48456,1.54333,0.00143595,0.00143595,0.00143595
16,355.504,1.21207,0.64122,0.91927,0.62489,0.07613,0.048,0.01702,3.18344,3.13696,1.44706,0.00141945,0.00141945,0.00141945
17,377.596,1.20888,0.64489,0.92038,0.12946,0.07895,0.04273,0.01557,3.23839,3.25182,1.4507,0.00140295,0.00140295,0.00140295
18,399.832,1.25767,0.67178,0.92419,0.07896,0.07613,0.02291,0.00789,3.24993,3.88822,1.36791,0.00138644,0.00138644,0.00138644
19,421.928,1.18239,0.62163,0.91103,0.58555,0.07801,0.03531,0.01106,3.37396,3.22061,1.38268,0.00136994,0.00136994,0.00136994
20,444.142,1.18991,0.6335,0.91059,0.11549,0.09023,0.04288,0.01219,3.31495,4.60736,1.46644,0.00135344,0.00135344,0.00135344
21,466.297,1.16721,0.61544,0.90554,0.13168,0.07801,0.04905,0.01765,3.20351,2.95962,1.53884,0.00133693,0.00133693,0.00133693
22,488.485,1.20464,0.63478,0.91484,0.05193,0.01497,0.00198,0.00053,3.44338,4.98868,1.43153,0.00132043,0.00132043,0.00132043
23,510.806,1.27442,0.6762,0.92671,0.0878,0.06485,0.03081,0.00918,3.27838,3.32376,1.44475,0.00130393,0.00130393,0.00130393
24,532.958,1.15499,0.60844,0.9043,0.09359,0.08083,0.03884,0.01357,3.16036,3.49592,1.45581,0.00128742,0.00128742,0.00128742
25,555.055,1.14209,0.59723,0.90446,0.14922,0.08177,0.05942,0.0253,2.97232,3.21562,1.40484,0.00127092,0.00127092,0.00127092
26,577.493,1.14833,0.60498,0.90587,0.15041,0.08741,0.06049,0.02025,3.13216,3.276,1.46862,0.00125442,0.00125442,0.00125442
27,599.569,1.13422,0.59086,0.89973,0.14318,0.06767,0.04383,0.01476,3.23031,3.05371,1.42158,0.00123791,0.00123791,0.00123791
28,621.691,1.17912,0.61383,0.9102,0.10732,0.09774,0.04543,0.01678,3.18895,3.18686,1.42526,0.00122141,0.00122141,0.00122141
29,643.875,1.18554,0.62711,0.91235,0.11365,0.0882,0.05026,0.01672,3.07899,3.50002,1.36482,0.00120491,0.00120491,0.00120491
30,666.124,1.1343,0.59245,0.90039,0.1407,0.08929,0.05935,0.0236,3.08231,3.21916,1.47388,0.0011884,0.0011884,0.0011884
31,688.301,1.16135,0.60431,0.90618,0.12524,0.08553,0.05021,0.01762,3.17387,3.45306,1.52731,0.0011719,0.0011719,0.0011719
32,710.448,1.14962,0.59981,0.90559,0.14087,0.07779,0.05687,0.02149,3.13111,3.18082,1.4276,0.0011554,0.0011554,0.0011554
33,732.554,1.12427,0.58479,0.89651,0.11958,0.08647,0.04347,0.01523,3.21538,3.08341,1.4148,0.00113889,0.00113889,0.00113889
34,754.733,1.13391,0.59105,0.90194,0.13838,0.10034,0.06003,0.02292,3.01155,3.07847,1.3886,0.00112239,0.00112239,0.00112239
35,776.879,1.18305,0.61063,0.9104,0.10129,0.08271,0.04184,0.01702,3.0788,3.29756,1.35106,0.00110589,0.00110589,0.00110589
